9956.91,9153.01,9693.01,9434.93,2732.97,2655.37
9693.01,9434.93,9599.06,9530.07,2732.97,2655.37
291435,-380759,17563,8586.6,154499,-186086
17563,8586.6,17392.3,8466.42,154499,-186086
-61955.4,-87109.3,291435,-380759,154499,-186086
11604.5,21321.2,12483.1,18514.2,12043.8,19917.7
12483.1,18514.2,13514,19953.3,12043.8,19917.7
12515,21310.8,11604.5,21321.2,12043.8,19917.7
18755.6,18261.1,19076.7,17818.5,22478,20623.6
25879.3,23428.7,23647,24874.6,22478,20623.6
19076.7,17818.5,25879.3,23428.7,22478,20623.6
9599.06,9530.07,9673.36,13595.8,-62318.9,12878
-134311,12160.2,-81981.3,-56380.8,-62318.9,12878
9673.36,13595.8,-134311,12160.2,-62318.9,12878
13514,19953.3,15753.4,18522.2,17752.6,24118.5
19751.8,29714.8,12515,21310.8,17752.6,24118.5
15753.4,18522.2,18755.6,18261.1,17752.6,24118.5
23647,24874.6,19751.8,29714.8,17752.6,24118.5
17392.3,8466.42,13632.8,9291.47,12350.5,-5529.25
13632.8,9291.47,9956.91,9153.01,12350.5,-5529.25
-81981.3,-56380.8,-61955.4,-87109.3,-24877.4,-41055.7
219.753,30402.5,4100.69,18213.7,2160.22,24308.1
4100.69,18213.7,219.753,30402.5,2160.22,24308.1
9599.06,9530.07,6457.42,9496.16,8111.37,1810.18
6457.42,9496.16,2648.64,7464.25,8111.37,1810.18
9074.2,4241.09,9399.14,4459.11,-24375.3,54446.7
3001.27,6670.34,2648.64,7464.25,-8758.4,1922.38
9399.14,4459.11,9831.47,6436.03,-4063.1,8438.89
9831.47,6436.03,9956.91,9153.01,-4063.1,8438.89
3001.27,6670.34,6319.17,4598.05,8690.01,12086.2
6319.17,4598.05,9074.2,4241.09,8690.01,12086.2
13556.2,-7199.6,15090.9,1113.1,2410.51,-843.834
15090.9,1113.1,16741.5,4926.74,298.282,9779.47
16741.5,4926.74,17392.3,8466.42,298.282,9779.47
-61955.4,-87109.3,13556.2,-7199.6,-64883.2,-8710.03
-3823.06,13788.7,2618.88,13628.7,-602.09,13708.7
2618.88,13628.7,-3823.06,13788.7,-602.09,13708.7
13514,19953.3,13482.5,20054.3,11176.9,19279.8
13482.5,20054.3,12515,21310.8,11176.9,19279.8
23647,24874.6,19211.7,20198,26875.9,17370.9
19211.7,20198,18755.6,18261.1,26875.9,17370.9
2648.64,7464.25,2217.61,7735.72,-1174.53,1871.94
2217.61,7735.72,-5806.42,6815.24,-1174.53,1871.94
-5806.42,6815.24,-81981.3,-56380.8,3403.61,-81793.9
15090.9,1113.1,11944.3,3353.61,4356.76,-10632.4
11944.3,3353.61,9399.14,4459.11,4356.76,-10632.4
9074.2,4241.09,8440.81,1271.64,17413.8,909.959
8440.81,1271.64,13556.2,-7199.6,17413.8,909.959
-5806.42,6815.24,2198.01,3620.69,-1411.47,6202.02
2198.01,3620.69,3001.27,6670.34,-1411.47,6202.02
