         26329217 function calls (26046623 primitive calls) in 18.219 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3938    0.040    0.000    0.627    0.000 lax_numpy.py:4503(_attempt_rewriting_take_via_slice)
     1537    0.005    0.000    0.600    0.000 axis.py:287(draw)
      243    0.001    0.000    0.593    0.002 pjit.py:1501(_pjit_lower)
      234    0.001    0.000    0.590    0.003 pjit.py:1505(_pjit_lower_cached)
       59    0.000    0.000    0.583    0.010 pyIPOPT.py:219(eval_g)
      234    0.008    0.000    0.582    0.002 pxla.py:2024(lower_sharding_computation)
       59    0.001    0.000    0.570    0.010 pathPlanning.py:660(objective_function)
       79    0.001    0.000    0.569    0.007 image.py:1531(imsave)
       79    0.001    0.000    0.566    0.007 Image.py:2328(save)
     1429    0.009    0.000    0.559    0.000 lax_numpy.py:4610(_gather)
     2328    0.009    0.000    0.552    0.000 array.py:311(__getitem__)
       79    0.002    0.000    0.552    0.007 PngImagePlugin.py:1221(_save)
      819    0.018    0.000    0.549    0.001 axis.py:1270(_update_ticks)
       79    0.000    0.000    0.547    0.007 ImageFile.py:496(_save)
       79    0.000    0.000    0.547    0.007 ImageFile.py:524(_encode_tile)
       79    0.541    0.007    0.541    0.007 {method 'encode' of 'ImagingEncoder' objects}
      234    0.005    0.000    0.527    0.002 pxla.py:1879(_cached_lowering_to_hlo)
    90486    0.225    0.000    0.518    0.000 core.py:1718(__init__)
      234    0.015    0.000    0.515    0.002 mlir.py:852(lower_jaxpr_to_module)
     1585    0.024    0.000    0.472    0.000 lax_numpy.py:4718(_index_to_gather)
     5103    0.024    0.000    0.465    0.000 text.py:915(get_window_extent)
     1239    0.009    0.000    0.452    0.000 lax_numpy.py:1876(concatenate)
     7505    0.017    0.000    0.446    0.000 lax.py:804(broadcast_in_dim)
      546    0.001    0.000    0.444    0.001 axis.py:1311(_get_ticklabel_bboxes)
     6349    0.090    0.000    0.441    0.000 text.py:358(_get_layout)
10698/10364    0.023    0.000    0.441    0.000 linear_util.py:336(memoized_fun)
      336    0.011    0.000    0.439    0.001 pathPlanning.py:338(find_closest_emitter)
     3753    0.024    0.000    0.420    0.000 text.py:734(draw)
      546    0.004    0.000    0.417    0.001 axis.py:1315(<listcomp>)
     3298    0.004    0.000    0.407    0.000 slicing.py:57(slice)
      176    0.001    0.000    0.401    0.002 axis.py:2599(_update_label_position)
      339    0.004    0.000    0.400    0.001 lax_numpy.py:2576(linspace)
    42588    0.012    0.000    0.393    0.000 ad.py:465(aval)
      678    0.005    0.000    0.386    0.001 lax_numpy.py:1823(stack)
6376/6048    0.025    0.000    0.384    0.000 pjit.py:1199(_pjit_jaxpr)
    80948    0.154    0.000    0.373    0.000 config.py:192(trace_context)
     2987    0.007    0.000    0.372    0.000 ad.py:501(linear_jvp)
       97    0.002    0.000    0.369    0.004 _base.py:2943(_update_title_position)
      273    0.001    0.000    0.367    0.001 axis.py:2143(_get_tick_boxes_siblings)
  300/234    0.019    0.000    0.363    0.002 mlir.py:1111(lower_jaxpr_to_fun)
     5925    0.030    0.000    0.356    0.000 lax.py:1370(expand_dims)
  1587932    0.292    0.000    0.355    0.000 config.py:275(value)
  466/306    0.002    0.000    0.354    0.001 partial_eval.py:2312(trace_to_jaxpr_dynamic)
  472/306    0.004    0.000    0.344    0.001 partial_eval.py:2328(trace_to_subjaxpr_dynamic)
       79    0.001    0.000    0.339    0.004 multipleEmitterOnlineLocationAndPowerEstimator.py:351(plot)
     5817    0.034    0.000    0.336    0.000 lines.py:738(draw)
       79    0.001    0.000    0.328    0.004 axis.py:1320(get_tightbbox)
     6995    0.032    0.000    0.322    0.000 partial_eval.py:216(default_process_primitive)
       47    0.005    0.000    0.312    0.007 multipleEmitterOnlineLocationAndPowerEstimator.py:382(plot_angle_of_arrival_measurements)
    22500    0.294    0.000    0.312    0.000 probabilityOfDetectionMap.py:163(pd_jacobian_unkown_radar_parameters)
  2499314    0.263    0.000    0.311    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.310    0.310 pathPlanning.py:111(__init__)
      969    0.004    0.000    0.307    0.000 _axes.py:1476(plot)
  361/234    0.030    0.000    0.300    0.001 mlir.py:1524(jaxpr_subcomp)
      336    0.001    0.000    0.300    0.001 lax_numpy.py:1909(vstack)
      291    0.000    0.000    0.284    0.001 partial_eval.py:780(trace_to_subjaxpr_nounits)
      194    0.001    0.000    0.284    0.001 partial_eval.py:792(_trace_to_subjaxpr_nounits)
     3264    0.019    0.000    0.283    0.000 slicing.py:1162(_slice_impl)
     2456    0.001    0.000    0.274    0.000 {method 'send' of 'generator' objects}
     1459    0.003    0.000    0.270    0.000 util.py:270(promote_dtypes)
2727/2721    0.003    0.000    0.267    0.000 lax_numpy.py:2227(asarray)
   114265    0.075    0.000    0.254    0.000 core.py:515(full_raise)
       97    0.027    0.000    0.252    0.003 partial_eval.py:910(tracers_to_jaxpr)
     3179    0.002    0.000    0.242    0.000 lax.py:417(add)
    67377    0.069    0.000    0.241    0.000 core.py:1333(find_top_trace)
     2943    0.005    0.000    0.239    0.000 lax_numpy.py:903(expand_dims)
   154421    0.079    0.000    0.239    0.000 core.py:1637(__init__)
   121047    0.117    0.000    0.238    0.000 dtypes.py:329(issubdtype)
     2458    0.003    0.000    0.225    0.000 ad.py:519(linear_transpose2)
       18    0.000    0.000    0.223    0.012 pyplot.py:2312(colorbar)
213749/204602    0.035    0.000    0.223    0.000 {built-in method builtins.next}
       18    0.000    0.000    0.223    0.012 figure.py:1205(colorbar)
 2508/897    0.007    0.000    0.222    0.000 mlir.py:1650(lower_per_platform)
63286/52014    0.018    0.000    0.221    0.000 deprecation.py:289(wrapper)
  289/158    0.002    0.000    0.219    0.001 pjit.py:1134(_create_pjit_jaxpr)
     1450    0.001    0.000    0.218    0.000 util.py:278(<listcomp>)
     1873    0.005    0.000    0.214    0.000 ad.py:529(standard_jvp)
    44900    0.071    0.000    0.212    0.000 dtypes.py:644(dtype)
    22500    0.205    0.000    0.211    0.000 probabilityOfDetectionMap.py:145(pd_jacobian_emittor_params)
     8423    0.008    0.000    0.207    0.000 core.py:457(abstract_eval_)
    35988    0.015    0.000    0.205    0.000 core.py:663(<lambda>)
      156    0.000    0.000    0.204    0.001 array_methods.py:481(set)
      156    0.001    0.000    0.203    0.001 scatter.py:48(_scatter_update)
    29548    0.044    0.000    0.202    0.000 util.py:285(wrapper)
      243    0.051    0.000    0.201    0.001 pxla.py:1196(__call__)
     2690    0.008    0.000    0.193    0.000 lax.py:1362(squeeze)
    13416    0.016    0.000    0.192    0.000 partial_eval.py:166(new_instantiated_const)
  2195201    0.147    0.000    0.190    0.000 {method 'get' of 'dict' objects}
     1530    0.002    0.000    0.190    0.000 ticker.py:2140(__call__)
    23031    0.010    0.000    0.187    0.000 ad.py:190(write_cotangent)
     2137    0.004    0.000    0.186    0.000 patches.py:579(draw)
     1416    0.002    0.000    0.185    0.000 lax.py:601(concatenate)
    29700    0.059    0.000    0.184    0.000 probabilityOfDetectionMap.py:29(compute_probability_of_detection_at_xy)
  678/676    0.001    0.000    0.182    0.000 lax_numpy.py:2187(<listcomp>)
    19576    0.009    0.000    0.181    0.000 pjit.py:1963(<genexpr>)
     3789    0.002    0.000    0.178    0.000 ad.py:547(add_tangents)
     1907    0.002    0.000    0.177    0.000 ad_util.py:32(add_jaxvals)
    80/32    0.001    0.000    0.176    0.005 pjit.py:1654(_pjit_lowering)
     1530    0.003    0.000    0.175    0.000 ticker.py:2144(tick_values)
    80/32    0.001    0.000    0.173    0.005 pjit.py:1625(_pjit_cached_lower_jaxpr_to_fun)
      156    0.002    0.000    0.171    0.001 scatter.py:88(_scatter_impl)
       97    0.001    0.000    0.171    0.002 axis.py:2358(_update_label_position)
    11008    0.015    0.000    0.171    0.000 transforms.py:1472(transform)
      580    0.002    0.000    0.169    0.000 linalg.py:82(wrapped)
     1239    0.001    0.000    0.169    0.000 lax_numpy.py:1898(<listcomp>)
      273    0.003    0.000    0.169    0.001 spines.py:142(get_window_extent)
      580    0.002    0.000    0.167    0.000 linalg.py:364(triangular_solve)
     7066    0.025    0.000    0.164    0.000 utils.py:50(standard_abstract_eval)
    12698    0.013    0.000    0.162    0.000 text.py:65(_get_text_metrics_with_cache)
419690/404202    0.069    0.000    0.161    0.000 {built-in method builtins.getattr}
      238    0.000    0.000    0.159    0.001 axis.py:1555(_get_tick)
     1530    0.024    0.000    0.157    0.000 ticker.py:2079(_raw_ticks)
       18    0.000    0.000    0.156    0.009 colorbar.py:1477(make_axes_gridspec)
     6376    0.009    0.000    0.155    0.000 api_util.py:634(debug_info)
     1134    0.003    0.000    0.154    0.000 lax_numpy.py:4357(_normalize_index)
   232608    0.083    0.000    0.152    0.000 dtypes.py:239(canonicalize_dtype)
      972    0.004    0.000    0.151    0.000 _base.py:2300(add_line)
       18    0.000    0.000    0.150    0.008 figure.py:658(add_subplot)
       18    0.001    0.000    0.150    0.008 _base.py:569(__init__)
      243    0.000    0.000    0.149    0.001 pxla.py:1105(__call__)
      243    0.000    0.000    0.148    0.001 pxla.py:116(shard_args)
      243    0.000    0.000    0.148    0.001 pxla.py:120(<listcomp>)
      470    0.001    0.000    0.148    0.000 pxla.py:110(shard_arg)
      656    0.001    0.000    0.146    0.000 collections.py:1002(draw)
     1616    0.007    0.000    0.145    0.000 backend_agg.py:187(draw_text)
     1040    0.009    0.000    0.144    0.000 slicing.py:1116(_slice_transpose_rule)
     1686    0.018    0.000    0.144    0.000 lines.py:287(__init__)
     1938    0.004    0.000    0.143    0.000 _base.py:233(__call__)
     6376    0.026    0.000    0.142    0.000 api_util.py:664(_arg_names)
    21885    0.016    0.000    0.141    0.000 core.py:2678(used_axis_names)
   103924    0.043    0.000    0.140    0.000 {built-in method builtins.any}
      819    0.006    0.000    0.140    0.000 axis.py:1497(get_minorticklocs)
     3271    0.004    0.000    0.139    0.000 backend_agg.py:95(draw_path)
    12639    0.007    0.000    0.139    0.000 api_util.py:595(shaped_abstractify)
     1872    0.001    0.000    0.138    0.000 ad_util.py:39(add_impl)
     1872    0.002    0.000    0.137    0.000 lax.py:1562(_add_arrays)
      674    0.011    0.000    0.137    0.000 collections.py:346(draw)
      341    0.002    0.000    0.135    0.000 lax_numpy.py:2464(eye)
    64835    0.068    0.000    0.134    0.000 core.py:1955(raise_to_shaped)
     3271    0.059    0.000    0.133    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      420    0.004    0.000    0.132    0.000 lax.py:3265(_concatenate_transpose_rule)
      110    0.000    0.000    0.132    0.001 pxla.py:147(_shard_array)
      969    0.007    0.000    0.132    0.000 _base.py:401(_plot_args)
9434/9164    0.027    0.000    0.131    0.000 artist.py:1176(_update_props)
      341    0.003    0.000    0.130    0.000 lax.py:1290(_eye)
       55    0.000    0.000    0.130    0.002 pyIPOPT.py:231(eval_jac_g)
22256/14619    0.045    0.000    0.130    0.000 transforms.py:2431(get_affine)
      110    0.129    0.001    0.129    0.001 pxla.py:169(batched_device_put)
      837    0.001    0.000    0.128    0.000 axis.py:1606(get_major_ticks)
     1200    0.001    0.000    0.127    0.000 pathPlanning.py:204(get_control)
      282    0.006    0.000    0.126    0.000 pathPlanning.py:219(get_turn_rate_and_velocity_waypoint)
      243    0.002    0.000    0.125    0.001 pjit.py:1289(_resolve_in_shardings)
    11008    0.006    0.000    0.123    0.000 transforms.py:2406(transform_affine)
     1040    0.001    0.000    0.123    0.000 lax.py:896(pad)
      234    0.004    0.000    0.122    0.001 mlir.py:618(__init__)
      477    0.000    0.000    0.122    0.000 pxla.py:1706(__call__)
      477    0.002    0.000    0.121    0.000 pxla.py:1710(_get_and_check_device_assignment)
8735/8465    0.003    0.000    0.120    0.000 artist.py:1212(_internal_update)
     3764    0.004    0.000    0.119    0.000 patches.py:259(get_transform)
      336    0.007    0.000    0.119    0.000 lax_numpy.py:1918(<listcomp>)
      238    0.005    0.000    0.118    0.000 axis.py:65(__init__)
      235    0.000    0.000    0.118    0.001 xla_bridge.py:823(backends)
    21885    0.034    0.000    0.118    0.000 core.py:2683(subst_axis_names)
      477    0.001    0.000    0.118    0.000 pxla.py:1697(_get_default_device)
       18    0.000    0.000    0.118    0.007 _base.py:1381(clear)
       18    0.001    0.000    0.118    0.007 _base.py:1254(__clear)
        1    0.000    0.000    0.117    0.117 xla_bridge.py:1068(local_devices)
        2    0.000    0.000    0.117    0.059 xla_bridge.py:977(get_backend)
        2    0.000    0.000    0.117    0.059 xla_bridge.py:950(_get_backend_uncached)
