         26329217 function calls (26046623 primitive calls) in 18.219 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  259/235    0.001    0.000    0.011    0.000 partial_eval.py:1520(dce_jaxpr)
     3425    0.007    0.000    0.011    0.000 _ods_common.py:132(get_op_result_or_op_results)
     4076    0.005    0.000    0.011    0.000 _ufunc_config.py:33(seterr)
     7326    0.011    0.000    0.011    0.000 transforms.py:2897(_interval_contains_close)
   111313    0.011    0.000    0.011    0.000 fromnumeric.py:1976(_shape_dispatcher)
    10698    0.008    0.000    0.011    0.000 weakref.py:508(setdefault)
      710    0.000    0.000    0.011    0.000 collections.py:894(update_scalarmappable)
     2126    0.002    0.000    0.011    0.000 transforms.py:1612(transform_path_non_affine)
      359    0.002    0.000    0.011    0.000 type_check.py:120(real)
     7326    0.004    0.000    0.011    0.000 ticker.py:514(_format_maybe_minus_and_locale)
       58    0.000    0.000    0.011    0.000 text.py:73(_get_text_metrics_with_cache_impl)
      144    0.001    0.000    0.011    0.000 colors.py:1329(__call__)
      114    0.000    0.000    0.011    0.000 array.py:274(__float__)
       58    0.000    0.000    0.011    0.000 backend_agg.py:208(get_text_width_height_descent)
        4    0.000    0.000    0.010    0.003 common.py:64(_initial_style_jaxpr)
        8    0.000    0.000    0.010    0.001 radar.py:87(plot_radar_location)
        8    0.000    0.000    0.010    0.001 pyplot.py:3668(scatter)
     8512    0.010    0.000    0.010    0.000 cbook.py:1782(<dictcomp>)
      293    0.001    0.000    0.010    0.000 partial_eval.py:2269(debug_info)
        4    0.000    0.000    0.010    0.003 common.py:54(_initial_style_open_jaxpr)
     5234    0.001    0.000    0.010    0.000 lax.py:1619(<genexpr>)
     3141    0.003    0.000    0.010    0.000 lax_numpy.py:4483(_is_valid_integer_index_for_slice)
       79    0.000    0.000    0.010    0.000 _axes.py:104(set_title)
    99681    0.010    0.000    0.010    0.000 core.py:238(<lambda>)
      319    0.000    0.000    0.010    0.000 lax_numpy.py:4751(<genexpr>)
     6215    0.004    0.000    0.010    0.000 core.py:3247(<genexpr>)
   130891    0.010    0.000    0.010    0.000 {function RcParams.__getitem__ at 0x7b45f4f9edd0}
    44266    0.010    0.000    0.010    0.000 linear_util.py:155(__init__)
     1471    0.001    0.000    0.010    0.000 api_util.py:621(_python_scalar_abstractify)
     5103    0.003    0.000    0.010    0.000 text.py:890(get_unitless_position)
      140    0.000    0.000    0.010    0.000 lax.py:2150(_integer_pow_lowering)
      235    0.000    0.000    0.010    0.000 xla_bridge.py:723(_discover_and_register_pjrt_plugins)
     2194    0.004    0.000    0.010    0.000 markers.py:257(_recache)
     2743    0.001    0.000    0.010    0.000 transforms.py:2786(get_affine)
      321    0.004    0.000    0.010    0.000 func.py:95(add_entry_block)
     6376    0.004    0.000    0.010    0.000 pjit.py:272(_read_most_recent_pjit_call_executable)
    11928    0.007    0.000    0.010    0.000 core.py:214(jaxprs_in_params)
     1530    0.001    0.000    0.010    0.000 fromnumeric.py:2100(clip)
     1686    0.004    0.000    0.010    0.000 lines.py:1138(set_linestyle)
    12824    0.007    0.000    0.010    0.000 tree_util.py:744(keystr)
     2550    0.002    0.000    0.010    0.000 fromnumeric.py:2322(any)
      303    0.001    0.000    0.010    0.000 {built-in method builtins.print}
      237    0.001    0.000    0.010    0.000 agent.py:135(plot_agent)
      490    0.001    0.000    0.010    0.000 core.py:3071(__array_wrap__)
     1602    0.003    0.000    0.010    0.000 core.py:3217(__getitem__)
    90527    0.009    0.000    0.010    0.000 {built-in method builtins.iter}
      108    0.001    0.000    0.010    0.000 bezier.py:275(axis_aligned_extrema)
    12752    0.002    0.000    0.010    0.000 pjit.py:553(<genexpr>)
        1    0.000    0.000    0.010    0.010 xla_bridge.py:530(discover_pjrt_plugins)
        2    0.000    0.000    0.009    0.005 lax_numpy.py:2585(_linspace)
       21    0.000    0.000    0.009    0.000 mlir.py:2183(cached_lowering)
5032/4996    0.004    0.000    0.009    0.000 cbook.py:1685(_safe_first_finite)
      596    0.001    0.000    0.009    0.000 function_base.py:2367(__call__)
     1463    0.001    0.000    0.009    0.000 arraysetops.py:138(unique)
      687    0.001    0.000    0.009    0.000 lax_numpy.py:545(<listcomp>)
        3    0.000    0.000    0.009    0.003 solves.py:238(f)
       62    0.000    0.000    0.009    0.000 util.py:376(promote_args)
      540    0.001    0.000    0.009    0.000 colors.py:1294(process_value)
     1109    0.003    0.000    0.009    0.000 _base.py:2516(_process_unit_info)
      291    0.002    0.000    0.009    0.000 partial_eval.py:2774(inline_jaxpr_into_trace)
       36    0.008    0.000    0.009    0.000 {method 'draw_quad_mesh' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      728    0.000    0.000    0.009    0.000 transforms.py:1796(transform_path)
     9683    0.006    0.000    0.009    0.000 cbook.py:1324(is_math_text)
  259/235    0.003    0.000    0.009    0.000 partial_eval.py:1539(_dce_jaxpr)
      472    0.001    0.000    0.009    0.000 partial_eval.py:2605(_input_type_to_tracers)
    21164    0.009    0.000    0.009    0.000 <string>:2(__init__)
      248    0.001    0.000    0.009    0.000 _base.py:1126(_set_position)
      234    0.009    0.000    0.009    0.000 cache_key.py:131(_serialize_ir)
       18    0.000    0.000    0.009    0.000 colorbar.py:1153(_reset_locator_formatter_scale)
    41688    0.006    0.000    0.009    0.000 linalg.py:140(isComplexType)
      632    0.002    0.000    0.009    0.000 patches.py:1135(set_xy)
      234    0.009    0.000    0.009    0.000 {built-in method jaxlib.mlir._mlir_libs._chlo.register_dialect}
     1119    0.002    0.000    0.009    0.000 lax.py:3403(_squeeze_shape_rule)
       36    0.000    0.000    0.009    0.000 colorbar.py:1048(_process_values)
       36    0.000    0.000    0.009    0.000 colorbar.py:1221(_proportional_y)
6139/6101    0.004    0.000    0.009    0.000 <frozen importlib._bootstrap>:1053(_handle_fromlist)
      596    0.001    0.000    0.009    0.000 function_base.py:2337(_call_as_normal)
      159    0.003    0.000    0.009    0.000 lax_numpy.py:1218(broadcast_arrays)
 1341/595    0.002    0.000    0.009    0.000 dispatch.py:220(jaxpr_shardings)
    13129    0.003    0.000    0.009    0.000 linear_util.py:253(<lambda>)
     4284    0.002    0.000    0.009    0.000 lax_numpy.py:5020(<genexpr>)
       18    0.000    0.000    0.009    0.000 colorbar.py:1104(_mesh)
     6619    0.006    0.000    0.009    0.000 pxla.py:2995(reflatten_outputs_for_dispatch)
      688    0.006    0.000    0.009    0.000 collections.py:978(set_sizes)
     8533    0.002    0.000    0.009    0.000 axis.py:786(get_transform)
      497    0.003    0.000    0.009    0.000 slicing.py:1457(_gather_shape_rule)
   108/54    0.001    0.000    0.009    0.000 gridspec.py:658(get_position)
        9    0.000    0.000    0.009    0.001 linalg.py:1326(_lu_cpu_gpu_lowering)
       97    0.000    0.000    0.009    0.000 axis.py:2398(_update_offset_text_position)
     3287    0.003    0.000    0.009    0.000 shape_base.py:23(atleast_1d)
     5882    0.005    0.000    0.009    0.000 pjit.py:1856(<listcomp>)
       21    0.000    0.000    0.009    0.000 mlir.py:1489(_emit_lowering_rule_as_fun)
     2045    0.002    0.000    0.008    0.000 artist.py:1093(set_label)
      535    0.003    0.000    0.008    0.000 array_methods.py:109(_compute_newshape)
27370/27234    0.008    0.000    0.008    0.000 {built-in method _abc._abc_subclasscheck}
      321    0.001    0.000    0.008    0.000 func.py:38(__init__)
2244/2188    0.001    0.000    0.008    0.000 transforms.py:2391(_iter_break_from_left_to_right)
     5058    0.004    0.000    0.008    0.000 lines.py:1197(_set_markercolor)
    30313    0.008    0.000    0.008    0.000 core.py:253(<listcomp>)
      720    0.001    0.000    0.008    0.000 sharding.py:129(addressable_devices_indices_map)
       32    0.000    0.000    0.008    0.000 cbook.py:1026(_combine_masks)
    24447    0.003    0.000    0.008    0.000 pxla.py:3032(unsafe_call)
    30768    0.005    0.000    0.008    0.000 pjit.py:334(<genexpr>)
      632    0.000    0.000    0.008    0.000 radar.py:53(plot_arc_length)
     6191    0.002    0.000    0.008    0.000 transforms.py:2214(<lambda>)
      390    0.000    0.000    0.008    0.000 path.py:279(__deepcopy__)
     1903    0.002    0.000    0.008    0.000 _ufunc_config.py:430(__enter__)
      358    0.000    0.000    0.008    0.000 util.py:288(<listcomp>)
     1015    0.001    0.000    0.008    0.000 lax.py:4925(check_same_dtypes)
     1908    0.003    0.000    0.008    0.000 lax.py:2484(_convert_elt_type_fwd_rule)
      149    0.000    0.000    0.008    0.000 lax.py:425(mul)
        2    0.000    0.000    0.008    0.004 linalg.py:1464(lu_solve)
    24459    0.006    0.000    0.008    0.000 pjit.py:1806(<genexpr>)
     1007    0.001    0.000    0.008    0.000 mlir.py:1168(aval_to_types)
       69    0.000    0.000    0.008    0.000 util.py:281(cached)
      596    0.002    0.000    0.008    0.000 function_base.py:2443(_vectorize_call)
      932    0.001    0.000    0.008    0.000 core.py:1029(_update_thread_local_jit_state)
      995    0.002    0.000    0.008    0.000 mlir.py:1923(multi_broadcast_in_dim)
    58913    0.008    0.000    0.008    0.000 transforms.py:1929(get_matrix)
       54    0.000    0.000    0.008    0.000 axis.py:794(_set_scale)
        1    0.000    0.000    0.008    0.008 pathPlanning.py:63(distance_from_line)
      111    0.000    0.000    0.008    0.000 arrayprint.py:561(array2string)
    10669    0.007    0.000    0.008    0.000 util.py:354(canonicalize_axis)
      234    0.008    0.000    0.008    0.000 mlir.py:482(module_to_bytecode)
     1134    0.002    0.000    0.008    0.000 _base.py:1171(_set_artist_props)
     3284    0.004    0.000    0.008    0.000 api_util.py:52(_ensure_index_tuple)
     2468    0.001    0.000    0.008    0.000 colors.py:240(_check_color_like)
       54    0.000    0.000    0.008    0.000 colors.py:1377(inverse)
      938    0.003    0.000    0.008    0.000 partial_eval.py:1945(new_arg)
       18    0.000    0.000    0.008    0.000 colorbar.py:1011(remove)
    27832    0.008    0.000    0.008    0.000 {built-in method numpy.zeros}
      684    0.001    0.000    0.008    0.000 core.py:6660(array)
     7841    0.005    0.000    0.008    0.000 _ods_common.py:89(get_op_result_or_value)
      900    0.001    0.000    0.008    0.000 custom_derivatives.py:91(_flatten_fun_nokwargs)
     2903    0.002    0.000    0.008    0.000 artist.py:437(set_transform)
    85212    0.008    0.000    0.008    0.000 artist.py:293(axes)
       54    0.000    0.000    0.008    0.000 scale.py:103(set_default_locators_and_formatters)
     4891    0.004    0.000    0.008    0.000 path.py:162(_fast_from_codes_and_verts)
    32000    0.008    0.000    0.008    0.000 fromnumeric.py:72(<dictcomp>)
       72    0.000    0.000    0.008    0.000 colorbar.py:129(get_window_extent)
     6995    0.003    0.000    0.008    0.000 partial_eval.py:224(<listcomp>)
      468    0.001    0.000    0.008    0.000 custom_derivatives.py:275(_flatten_jvp)
    16810    0.006    0.000    0.008    0.000 copyreg.py:100(__newobj__)
       36    0.000    0.000    0.008    0.000 axis.py:647(__init__)
      527    0.001    0.000    0.007    0.000 _stablehlo_ops_gen.py:734(broadcast_in_dim)
      285    0.003    0.000    0.007    0.000 function_base.py:1324(diff)
    12368    0.002    0.000    0.007    0.000 lax_numpy.py:2176(<genexpr>)
13972/13954    0.003    0.000    0.007    0.000 transforms.py:2592(get_matrix)
     9352    0.002    0.000    0.007    0.000 scale.py:115(get_transform)
      448    0.002    0.000    0.007    0.000 colors.py:409(to_rgba_array)
       90    0.001    0.000    0.007    0.000 spines.py:35(__init__)
       36    0.000    0.000    0.007    0.000 cm.py:438(to_rgba)
     1463    0.006    0.000    0.007    0.000 arraysetops.py:323(_unique1d)
    22500    0.007    0.000    0.007    0.000 {method 'squeeze' of 'numpy.generic' objects}
      272    0.001    0.000    0.007    0.000 core.py:1828(masked_where)
     7214    0.005    0.000    0.007    0.000 core.py:308(replace)
     5882    0.006    0.000    0.007    0.000 partial_eval.py:1489(<listcomp>)
      302    0.001    0.000    0.007    0.000 transforms.py:1054(set)
     1674    0.004    0.000    0.007    0.000 font_manager.py:1525(get_font)
      270    0.002    0.000    0.007    0.000 core.py:1010(__call__)
      104    0.000    0.000    0.007    0.000 arrayprint.py:506(wrapper)
    14050    0.005    0.000    0.007    0.000 core.py:1355(definitely_equal)
   108/54    0.000    0.000    0.007    0.000 deprecation.py:379(wrapper)
     5257    0.003    0.000    0.007    0.000 ad.py:316(<listcomp>)
       54    0.000    0.000    0.007    0.000 dispatch.py:95(xla_primitive_callable)
     2921    0.005    0.000    0.007    0.000 font_manager.py:814(set_size)
     3927    0.003    0.000    0.007    0.000 backend_bases.py:939(set_dashes)
    15590    0.006    0.000    0.007    0.000 artist.py:450(get_transform)
     1158    0.002    0.000    0.007    0.000 core.py:3786(filled)
     3768    0.001    0.000    0.007    0.000 lax_numpy.py:4847(<genexpr>)
     1686    0.001    0.000    0.007    0.000 lines.py:1053(set_color)
   108/54    0.002    0.000    0.007    0.000 gridspec.py:144(get_grid_positions)
    28972    0.005    0.000    0.007    0.000 {built-in method builtins.setattr}
      581    0.001    0.000    0.007    0.000 _stablehlo_ops_gen.py:1379(constant)
    49500    0.007    0.000    0.007    0.000 {method 'ravel' of 'numpy.ndarray' objects}
     2349    0.001    0.000    0.007    0.000 font_manager.py:615(_from_any)
    11764    0.005    0.000    0.007    0.000 util.py:156(<listcomp>)
       54    0.000    0.000    0.007    0.000 api.py:142(jit)
     1852    0.003    0.000    0.007    0.000 partial_eval.py:1996(makevar)
       91    0.000    0.000    0.007    0.000 dispatch.py:97(prim_fun)
     5882    0.005    0.000    0.007    0.000 pjit.py:1884(<listcomp>)
      104    0.000    0.000    0.007    0.000 arrayprint.py:523(_array2string)
       54    0.000    0.000    0.007    0.000 pjit.py:475(make_jit)
      947    0.001    0.000    0.007    0.000 mlir.py:217(aval_to_ir_type)
     6995    0.004    0.000    0.007    0.000 source_info_util.py:119(__getitem__)
       50    0.000    0.000    0.007    0.000 collections.py:236(get_datalim)
    10368    0.003    0.000    0.007    0.000 font_manager.py:1289(<genexpr>)
      234    0.001    0.000    0.007    0.000 mlir.py:1008(_set_up_aliases)
      130    0.001    0.000    0.007    0.000 patches.py:48(__init__)
     2796    0.002    0.000    0.007    0.000 artist.py:730(set_figure)
        2    0.000    0.000    0.007    0.003 linalg.py:1434(_lu_solve)
5961/5909    0.003    0.000    0.007    0.000 core.py:1501(concrete_or_error)
       75    0.000    0.000    0.007    0.000 arrayprint.py:1487(_array_repr_implementation)
     7326    0.003    0.000    0.007    0.000 ticker.py:245(fix_minus)
      661    0.002    0.000    0.007    0.000 spines.py:234(_adjust_location)
      476    0.000    0.000    0.007    0.000 lines.py:1183(set_marker)
       30    0.000    0.000    0.007    0.000 ufuncs.py:98(fn)
     1119    0.003    0.000    0.007    0.000 lax.py:3406(_compute_squeeze_shape)
      300    0.000    0.000    0.007    0.000 custom_derivatives.py:96(<listcomp>)
      395    0.001    0.000    0.007    0.000 PngImagePlugin.py:1054(putchunk)
      949    0.003    0.000    0.007    0.000 config.py:861(update_thread_local_jit_state)
       79    0.000    0.000    0.007    0.000 Image.py:571(_ensure_mutable)
     1368    0.002    0.000    0.007    0.000 transforms.py:1084(__init__)
     1585    0.003    0.000    0.007    0.000 lax_numpy.py:5037(_canonicalize_tuple_index)
     1569    0.001    0.000    0.007    0.000 markers.py:354(get_transform)
       79    0.000    0.000    0.007    0.000 Image.py:565(_copy)
        1    0.000    0.000    0.007    0.007 __init__.py:999(entry_points)
    33784    0.007    0.000    0.007    0.000 enum.py:678(__new__)
      234    0.001    0.000    0.007    0.000 pxla.py:2723(_maybe_get_and_check_in_shardings)
       32    0.000    0.000    0.007    0.000 collections.py:1013(__init__)
     6376    0.004    0.000    0.006    0.000 api_util.py:311(argnames_partial_except)
        1    0.000    0.000    0.006    0.006 __init__.py:456(load)
    32322    0.006    0.000    0.006    0.000 core.py:999(__eq__)
     2468    0.001    0.000    0.006    0.000 colors.py:221(is_color_like)
     3002    0.006    0.000    0.006    0.000 stride_tricks.py:416(_broadcast_shape)
      136    0.000    0.000    0.006    0.000 __init__.py:1018(<genexpr>)
    30943    0.006    0.000    0.006    0.000 core.py:1330(_get_trace_level)
       79    0.006    0.000    0.006    0.000 {method 'copy' of 'ImagingCore' objects}
    21885    0.006    0.000    0.006    0.000 core.py:2672(__init__)
        1    0.002    0.002    0.006    0.006 font_manager.py:1393(_findfont_cached)
     2826    0.001    0.000    0.006    0.000 lax_numpy.py:5006(_is_slice_element_none_or_constant_or_symbolic)
    20424    0.006    0.000    0.006    0.000 {method 'match' of 're.Pattern' objects}
     19/7    0.000    0.000    0.006    0.001 <frozen importlib._bootstrap>:1022(_find_and_load)
    56912    0.006    0.000    0.006    0.000 partial_eval.py:125(is_known)
     1938    0.002    0.000    0.006    0.000 cbook.py:1348(_check_1d)
     1530    0.006    0.000    0.006    0.000 ticker.py:1904(scale_range)
      147    0.002    0.000    0.006    0.000 slicing.py:1802(_gather_lower)
     6376    0.004    0.000    0.006    0.000 api_util.py:273(argnums_partial_except)
      321    0.005    0.000    0.006    0.000 _func_ops_gen.py:136(__init__)
     19/7    0.000    0.000    0.006    0.001 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
       48    0.001    0.000    0.006    0.000 lax.py:4078(_unary_reduce_lower)
      147    0.000    0.000    0.006    0.000 lax.py:3065(_broadcast_in_dim_staging_rule)
       51    0.001    0.000    0.006    0.000 pyOpt_optimization.py:1368(processObjectiveGradient)
      670    0.001    0.000    0.006    0.000 lax.py:3261(_concatenate_dtype_rule)
    25504    0.006    0.000    0.006    0.000 util.py:445(__init__)
       36    0.000    0.000    0.006    0.000 _base.py:3316(tick_params)
    34050    0.006    0.000    0.006    0.000 pjit.py:1952(<genexpr>)
      234    0.004    0.000    0.006    0.000 pxla.py:2608(_get_layouts_from_executable)
      636    0.001    0.000    0.006    0.000 fromnumeric.py:2512(cumsum)
    21864    0.004    0.000    0.006    0.000 ad_util.py:71(<lambda>)
    12603    0.003    0.000    0.006    0.000 text.py:1203(set_y)
       59    0.000    0.000    0.006    0.000 pyIPOPT.py:213(eval_f)
       69    0.002    0.000    0.006    0.000 lax_numpy.py:1932(<listcomp>)
     5704    0.002    0.000    0.006    0.000 partial_eval.py:1909(<lambda>)
       19    0.000    0.000    0.006    0.000 reductions.py:70(_reduction)
     1275    0.001    0.000    0.006    0.000 artist.py:1001(set_alpha)
    35363    0.006    0.000    0.006    0.000 {method 'setdefault' of 'dict' objects}
      656    0.000    0.000    0.006    0.000 transforms.py:1468(__array__)
    46884    0.006    0.000    0.006    0.000 pjit.py:1770(<genexpr>)
       72    0.001    0.000    0.006    0.000 axis.py:1189(_set_lim)
     4833    0.006    0.000    0.006    0.000 {built-in method jaxlib.mlir._mlir_libs._mlir.ir.name}
     26/6    0.000    0.000    0.006    0.001 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
       18    0.000    0.000    0.006    0.000 _base.py:1198(_gen_axes_spines)
       18    0.000    0.000    0.006    0.000 _base.py:1213(<dictcomp>)
     2010    0.003    0.000    0.006    0.000 inspect.py:2637(__init__)
     18/6    0.000    0.000    0.006    0.001 <frozen importlib._bootstrap>:664(_load_unlocked)
    57624    0.006    0.000    0.006    0.000 core.py:102(outvars)
      670    0.002    0.000    0.006    0.000 lax.py:3233(_concatenate_shape_rule)
       79    0.001    0.000    0.006    0.000 lax.py:2602(_dot_general_shape_rule)
       72    0.000    0.000    0.006    0.000 spines.py:432(linear_spine)
      177    0.000    0.000    0.006    0.000 axis.py:497(_apply_tickdir)
     7119    0.005    0.000    0.006    0.000 core.py:2296(join_named_shapes)
     2375    0.001    0.000    0.006    0.000 {method 'any' of 'numpy.ndarray' objects}
     16/1    0.000    0.000    0.006    0.006 batching.py:418(process_primitive)
     3016    0.001    0.000    0.006    0.000 core.py:2053(is_empty_shape)
       59    0.001    0.000    0.006    0.000 pyOpt_optimization.py:1200(processContoVec)
    23154    0.004    0.000    0.006    0.000 partial_eval.py:932(get_atom)
     17/6    0.000    0.000    0.006    0.001 <frozen importlib._bootstrap_external>:877(exec_module)
     5563    0.003    0.000    0.006    0.000 core.py:2008(definitely_equal_shape)
     5925    0.002    0.000    0.006    0.000 lax.py:1375(<listcomp>)
        1    0.000    0.000    0.006    0.006 solves.py:378(_linear_solve_batching_rule)
    10761    0.003    0.000    0.006    0.000 backend_bases.py:969(set_foreground)
      632    0.001    0.000    0.006    0.000 patches.py:2127(_update_path)
       27    0.000    0.000    0.006    0.000 lax.py:739(dot_general)
    20366    0.006    0.000    0.006    0.000 array.py:583(_check_if_deleted)
    12817    0.004    0.000    0.006    0.000 partial_eval.py:710(full_lower)
      974    0.003    0.000    0.006    0.000 dtypes.py:252(scalar_type_of)
     4728    0.005    0.000    0.006    0.000 tree_util.py:136(tree_leaves)
     6388    0.006    0.000    0.006    0.000 {method 'astype' of 'numpy.ndarray' objects}
     1130    0.001    0.000    0.006    0.000 transforms.py:858(update_from_path)
     2976    0.003    0.000    0.005    0.000 source_info_util.py:131(__str__)
       18    0.000    0.000    0.005    0.000 colorbar.py:629(_do_extends)
     1903    0.001    0.000    0.005    0.000 _ufunc_config.py:435(__exit__)
       18    0.000    0.000    0.005    0.000 axis.py:2532(__init__)
        8    0.000    0.000    0.005    0.001 batching.py:803(batch_jaxpr)
        8    0.000    0.000    0.005    0.001 batching.py:809(_batch_jaxpr)
       18    0.000    0.000    0.005    0.000 axis.py:2294(__init__)
    43017    0.005    0.000    0.005    0.000 {method 'update' of 'dict' objects}
        8    0.000    0.000    0.005    0.001 batching.py:821(batch_jaxpr_axes)
       17    0.000    0.000    0.005    0.000 reductions.py:211(_reduce_sum)
    27141    0.005    0.000    0.005    0.000 ad.py:309(<genexpr>)
        5    0.000    0.000    0.005    0.001 batching.py:827(_batch_jaxpr_axes)
       79    0.001    0.000    0.005    0.000 lax.py:2880(_dot_general_lower)
      403    0.000    0.000    0.005    0.000 _stablehlo_ops_gen.py:3342(multiply)
    39856    0.005    0.000    0.005    0.000 transforms.py:1036(get_points)
    44103    0.004    0.000    0.005    0.000 util.py:248(<genexpr>)
  403/234    0.001    0.000    0.005    0.000 dispatch.py:190(jaxpr_has_primitive)
     2901    0.002    0.000    0.005    0.000 _base.py:559(_axis_map)
     8336    0.002    0.000    0.005    0.000 transforms.py:1355(_iter_break_from_left_to_right)
    17402    0.005    0.000    0.005    0.000 source_info_util.py:265(current_name_stack)
    57247    0.005    0.000    0.005    0.000 typing.py:1737(cast)
       54    0.001    0.000    0.005    0.000 pjit.py:337(_parse_jit_arguments)
      321    0.001    0.000    0.005    0.000 _func_ops_gen.py:264(return_)
    66391    0.005    0.000    0.005    0.000 core.py:909(pure)
     3014    0.002    0.000    0.005    0.000 partial_eval.py:1816(newvar)
      128    0.001    0.000    0.005    0.000 polynomial.py:172(roots)
       97    0.001    0.000    0.005    0.000 _base.py:1515(_set_title_offset_trans)
      183    0.001    0.000    0.005    0.000 trf.py:128(select_step)
     2566    0.001    0.000    0.005    0.000 core.py:1643(update)
     3609    0.001    0.000    0.005    0.000 core.py:2001(is_constant_shape)
      527    0.004    0.000    0.005    0.000 _stablehlo_ops_gen.py:705(__init__)
      273    0.000    0.000    0.005    0.000 transforms.py:1593(transform_path)
    19530    0.003    0.000    0.005    0.000 transforms.py:198(<lambda>)
       16    0.000    0.000    0.005    0.000 ufuncs.py:85(<lambda>)
      256    0.000    0.000    0.005    0.000 partial_eval.py:1952(new_const)
     1146    0.001    0.000    0.005    0.000 text.py:1181(set_position)
      158    0.001    0.000    0.005    0.000 _base.py:1857(get_data_ratio)
     3232    0.005    0.000    0.005    0.000 {built-in method builtins.round}
     2688    0.003    0.000    0.005    0.000 mlir.py:173(dtype_to_ir_type)
    40003    0.005    0.000    0.005    0.000 {method 'pop' of 'dict' objects}
      234    0.001    0.000    0.005    0.000 pxla.py:2830(build_unsafe_call)
      370    0.000    0.000    0.005    0.000 text.py:239(_get_xy_display)
     3663    0.001    0.000    0.005    0.000 transforms.py:2222(transform_non_affine)
3323/2212    0.001    0.000    0.005    0.000 transforms.py:2377(_invalidate_internal)
     3112    0.005    0.000    0.005    0.000 cbook.py:181(__init__)
      672    0.001    0.000    0.005    0.000 core.py:3127(view)
     6995    0.004    0.000    0.005    0.000 partial_eval.py:220(<listcomp>)
      158    0.001    0.000    0.005    0.000 backend_bases.py:1989(_switch_canvas_and_return_print_method)
      183    0.001    0.000    0.005    0.000 common.py:57(solve_lsq_trust_region)
    16308    0.004    0.000    0.005    0.000 utils.py:52(<genexpr>)
      422    0.003    0.000    0.005    0.000 shape_base.py:1185(tile)
     2557    0.001    0.000    0.005    0.000 _methods.py:55(_any)
       79    0.000    0.000    0.005    0.000 PngImagePlugin.py:1072(write)
     7965    0.003    0.000    0.005    0.000 text.py:683(_get_wrapped_text)
     1526    0.002    0.000    0.005    0.000 transforms.py:2576(__init__)
    16315    0.004    0.000    0.005    0.000 core.py:1654(<lambda>)
    54/36    0.000    0.000    0.005    0.000 gridspec.py:508(get_subplot_params)
     2006    0.003    0.000    0.005    0.000 _base.py:852(_request_autoscale_view)
     2222    0.002    0.000    0.005    0.000 font_manager.py:736(set_style)
     4584    0.002    0.000    0.005    0.000 utils.py:109(_standard_weak_type_rule)
     3454    0.003    0.000    0.005    0.000 core.py:3354(clean_up_dead_vars)
     1605    0.004    0.000    0.005    0.000 numeric.py:136(ones)
       17    0.000    0.000    0.005    0.000 ad.py:562(bilinear_transpose)
    36599    0.005    0.000    0.005    0.000 core.py:110(effects)
     1686    0.001    0.000    0.005    0.000 lines.py:1221(set_markerfacecolor)
    20467    0.003    0.000    0.005    0.000 partial_eval.py:942(type_substitute)
       17    0.000    0.000    0.004    0.000 lax.py:2722(_dot_general_transpose_lhs)
      581    0.004    0.000    0.004    0.000 _stablehlo_ops_gen.py:1352(__init__)
     1686    0.001    0.000    0.004    0.000 lines.py:732(set_transform)
       16    0.000    0.000    0.004    0.000 multipleEmitterOnlineLocationAndPowerEstimator.py:100(loss)
      760    0.001    0.000    0.004    0.000 mlir.py:1016(<lambda>)
     1029    0.001    0.000    0.004    0.000 artist.py:221(remove)
       72    0.000    0.000    0.004    0.000 core.py:4268(__truediv__)
    52267    0.004    0.000    0.004    0.000 core.py:738(_assert_live)
    45468    0.004    0.000    0.004    0.000 {built-in method builtins.abs}
     1526    0.002    0.000    0.004    0.000 patches.py:738(_convert_units)
     6154    0.002    0.000    0.004    0.000 text.py:1192(set_x)
        1    0.000    0.000    0.004    0.004 linalg.py:442(<lambda>)
     1692    0.002    0.000    0.004    0.000 util.py:345(__hash__)
       36    0.000    0.000    0.004    0.000 util.py:391(promote_args_inexact)
       53    0.001    0.000    0.004    0.000 pyOpt_optimization.py:1422(processConstraintJacobian)
     17/6    0.000    0.000    0.004    0.001 {built-in method builtins.exec}
    10958    0.002    0.000    0.004    0.000 transforms.py:2123(transform)
    21864    0.004    0.000    0.004    0.000 core.py:2759(<setcomp>)
     2584    0.002    0.000    0.004    0.000 markers.py:282(_set_fillstyle)
       72    0.002    0.000    0.004    0.000 core.py:1157(__call__)
     1530    0.001    0.000    0.004    0.000 {method 'sum' of 'numpy.ndarray' objects}
    58638    0.004    0.000    0.004    0.000 {method 'values' of 'dict' objects}
      204    0.000    0.000    0.004    0.000 collections.py:762(_set_facecolor)
     4372    0.002    0.000    0.004    0.000 font_manager.py:722(set_family)
    29585    0.004    0.000    0.004    0.000 linear_util.py:108(__nonzero__)
  402/234    0.000    0.000    0.004    0.000 dispatch.py:205(jaxpr_has_prim_requiring_devices)
     1438    0.003    0.000    0.004    0.000 inspect.py:2920(__init__)
     3912    0.002    0.000    0.004    0.000 lines.py:75(_scale_dashes)
      158    0.000    0.000    0.004    0.000 transforms.py:930(update_from_data_xy)
     4076    0.004    0.000    0.004    0.000 _ufunc_config.py:132(geterr)
      652    0.001    0.000    0.004    0.000 core.py:1555(make_mask)
